indic_to,c_resid,month,unit,geo\time	2022 	2021 	2020 	2019 	2018 
LSTY,DOM,M09,NR,AT	52186 	52982 	59469 	35643 	30762 
LSTY,DOM,M09,NR,BE	63404 	78610 	86238 	38959 	31840 
LSTY,DOM,M09,NR,BG	31069 	35726 	40722 	31221 	25481 
LSTY,DOM,M09,NR,CH	62138 	88877 	101130 	47802 	40129 
LSTY,DOM,M09,NR,CY	9360 	7070 	6981 	7073 	6382 
LSTY,DOM,M09,NR,CZ	54873 	66579 	61027 	48193 	45623 
LSTY,DOM,M09,NR,DE	1210492 	1332348 	1445826 	1021659 	843132 
LSTY,DOM,M09,NR,DK	31760 	35034 	36344 	27413 	27647 
LSTY,DOM,M09,NR,EE	12800 	11810 	11446 	9111 	7000 
LSTY,DOM,M09,NR,EL	131945 	112954 	75047 	112923 	88026 
LSTY,DOM,M09,NR,ES	1192220 	1236581 	916229 	984033 	880281 
LSTY,DOM,M09,NR,EU27_2020	6856031 	7179846 	6456387 	5310250 	4555597 
LSTY,DOM,M09,NR,FI	56816 	54556 	45053 	33584 	25978 
LSTY,DOM,M09,NR,FR	2292907 	2294169 	2029545 	1569412 	1340885 
LSTY,DOM,M09,NR,HR	40730 	42263 	29476 	33051 	30176 
LSTY,DOM,M09,NR,HU	28809 	31847 	36715 	28043 	25483 
LSTY,DOM,M09,NR,IE	39079 	57674 	77256 	34999 	33729 
LSTY,DOM,M09,NR,IS	1677 	1415 	1212 	1337 	1230 
LSTY,DOM,M09,NR,IT	770611 	806865 	635166 	646528 	585490 
LSTY,DOM,M09,NR,LI	9 	14 	4 	8 	31 
LSTY,DOM,M09,NR,LT	20990 	22970 	25306 	13553 	11684 
LSTY,DOM,M09,NR,LU	1163 	1278 	1241 	1067 	1002 
LSTY,DOM,M09,NR,LV	8303 	9641 	8838 	5147 	3969 
LSTY,DOM,M09,NR,MT	3807 	4973 	4779 	3893 	3342 
LSTY,DOM,M09,NR,NL	77397 	106857 	112846 	58179 	51415 
LSTY,DOM,M09,NR,NO	43341 	39718 	38083 	32245 	27683 
LSTY,DOM,M09,NR,PL	437094 	445048 	399049 	330590 	267429 
LSTY,DOM,M09,NR,PT	148885 	176803 	165655 	124750 	107354 
LSTY,DOM,M09,NR,RO	77250 	90665 	80955 	67823 	47672 
LSTY,DOM,M09,NR,SE	34300 	35246 	31560 	23266 	18038 
LSTY,DOM,M09,NR,SI	5480 	5915 	8928 	4803 	4613 
LSTY,DOM,M09,NR,SK	22301 	23382 	24690 	15334 	11164 
LSTY,DOM,M10,NR,AT	48604 	47471 	45301 	32656 	29732 
LSTY,DOM,M10,NR,BE	63533 	61620 	65144 	41013 	30161 
LSTY,DOM,M10,NR,BG	18153 	14215 	14406 	13622 	10788 
LSTY,DOM,M10,NR,CH	73999 	110600 	106074 	49803 	43651 
LSTY,DOM,M10,NR,CY	9374 	6897 	5227 	6023 	4140 
LSTY,DOM,M10,NR,CZ	48244 	48686 	25677 	48506 	34919 
LSTY,DOM,M10,NR,DE	1136491 	1248211 	1280797 	1012714 	749960 
LSTY,DOM,M10,NR,DK	34020 	38642 	45103 	31939 	29925 
LSTY,DOM,M10,NR,EE	13163 	12810 	12191 	10057 	7318 
LSTY,DOM,M10,NR,EL	100229 	86844 	61125 	85481 	50999 
LSTY,DOM,M10,NR,ES	816119 	889665 	522934 	629374 	578673 
LSTY,DOM,M10,NR,EU27_2020	5666522 	5673057 	4704792 	4331382 	3522932 
LSTY,DOM,M10,NR,FI	49305 	49646 	44835 	31265 	23758 
LSTY,DOM,M10,NR,FR	2101215 	1997405 	1697239 	1427334 	1179772 
LSTY,DOM,M10,NR,HR	29622 	27448 	18279 	24994 	20651 
LSTY,DOM,M10,NR,HU	26153 	31423 	34925 	31719 	29455 
LSTY,DOM,M10,NR,IE	30125 	42603 	22017 	33233 	31205 
LSTY,DOM,M10,NR,IS	1943 	1812 	1242 	1612 	1250 
LSTY,DOM,M10,NR,IT	507316 	464568 	295381 	407719 	333023 
LSTY,DOM,M10,NR,LI	1 	4 	8 	13 	11 
LSTY,DOM,M10,NR,LT	18652 	19142 	18223 	10855 	7877 
LSTY,DOM,M10,NR,LU	1530 	1327 	1461 	1292 	1038 
LSTY,DOM,M10,NR,LV	8542 	9581 	8862 	4957 	3496 
LSTY,DOM,M10,NR,MT	2698 	2808 	2870 	2441 	2012 
LSTY,DOM,M10,NR,NL	73289 	90380 	105477 	58444 	53609 
LSTY,DOM,M10,NR,NO	41756 	42493 	36596 	31174 	27474 
LSTY,DOM,M10,NR,PL	328382 	289976 	208770 	232676 	182911 
LSTY,DOM,M10,NR,PT	77951 	88747 	75944 	57247 	61009 
LSTY,DOM,M10,NR,RO	71177 	52766 	49481 	54269 	35866 
LSTY,DOM,M10,NR,SE	28441 	28240 	29492 	19877 	14916 
LSTY,DOM,M10,NR,SI	5433 	4378 	2254 	4896 	4067 
LSTY,DOM,M10,NR,SK	18761 	17558 	11377 	16779 	11652 
LSTY,DOM,M11,NR,AT	31547 	24377 	18400 	28989 	26052 
LSTY,DOM,M11,NR,BE	55301 	64450 	76542 	36010 	27704 
LSTY,DOM,M11,NR,BG	15205 	11258 	8795 	12711 	10687 
LSTY,DOM,M11,NR,CH	38796 	44021 	56062 	31773 	26794 
LSTY,DOM,M11,NR,CY	7004 	4511 	3000 	4596 	3196 
LSTY,DOM,M11,NR,CZ	33715 	25726 	13353 	33270 	27951 
LSTY,DOM,M11,NR,DE	587928 	554147 	257093 	530879 	420868 
LSTY,DOM,M11,NR,DK	21428 	22706 	23857 	21461 	19797 
LSTY,DOM,M11,NR,EE	10640 	10248 	9494 	9740 	6881 
LSTY,DOM,M11,NR,EL	82382 	74087 	29677 	75899 	52176 
LSTY,DOM,M11,NR,ES	567139 	521771 	230751 	551446 	474219 
LSTY,DOM,M11,NR,EU27_2020	4064247 	3830877 	1777411 	3342586 	2716477 
LSTY,DOM,M11,NR,FI	37852 	34362 	29654 	26797 	20754 
LSTY,DOM,M11,NR,FR	1693592 	1623108 	621226 	1130108 	919132 
LSTY,DOM,M11,NR,HR	21503 	20143 	12596 	21352 	17339 
LSTY,DOM,M11,NR,HU	20622 	17291 	17278 	24416 	20618 
LSTY,DOM,M11,NR,IE	25429 	24038 	11943 	26162 	23348 
LSTY,DOM,M11,NR,IS	1324 	1328 	893 	1267 	1119 
LSTY,DOM,M11,NR,IT	338574 	318255 	128304 	378153 	321304 
LSTY,DOM,M11,NR,LI	6 	1 	34 	: 	13 
LSTY,DOM,M11,NR,LT	14456 	13510 	11114 	9801 	6390 
LSTY,DOM,M11,NR,LU	1353 	1135 	1558 	962 	910 
LSTY,DOM,M11,NR,LV	7632 	7146 	6812 	4748 	3036 
LSTY,DOM,M11,NR,MT	2315 	2488 	2864 	2512 	2307 
LSTY,DOM,M11,NR,NL	49414 	55915 	50931 	43605 	37215 
LSTY,DOM,M11,NR,NO	34829 	30476 	23496 	27005 	23917 
LSTY,DOM,M11,NR,PL	277016 	248866 	110119 	232610 	171972 
LSTY,DOM,M11,NR,PT	56110 	54516 	38477 	50987 	40024 
LSTY,DOM,M11,NR,RO	61761 	59244 	34902 	51522 	37339 
LSTY,DOM,M11,NR,SE	25899 	26032 	18325 	17516 	13235 
LSTY,DOM,M11,NR,SI	3614 	2395 	593 	3206 	2943 
LSTY,DOM,M11,NR,SK	14816 	9152 	9753 	13128 	9080 
LSTY,DOM,M12,NR,AT	43528 	29886 	17437 	33434 	29163 
LSTY,DOM,M12,NR,BE	61849 	70739 	90102 	43865 	34023 
LSTY,DOM,M12,NR,BG	19509 	18302 	13081 	15783 	12941 
LSTY,DOM,M12,NR,CH	69275 	86526 	99597 	55850 	45407 
LSTY,DOM,M12,NR,CY	8707 	6332 	5551 	6004 	4929 
LSTY,DOM,M12,NR,CZ	33833 	30520 	18803 	32891 	27790 
LSTY,DOM,M12,NR,DE	656157 	546943 	183601 	650145 	510597 
LSTY,DOM,M12,NR,DK	20330 	22182 	23831 	19647 	18044 
